Date,Rot,VH,Team,1st,2nd,Final,Open,Close,ML,2H
117,605,V,Colorado,28,44,72,124,124.5,200,66.5
117,606,H,ArizonaState,29,49,78,4,6,-240,3
117,607,V,Butler,31,28,59,128,129,161,69
117,608,H,Georgetown,27,34,61,4,4,-190,4
117,609,V,Bradley,31,41,72,NL,NL,525,NL
117,610,H,IllinoisState,46,36,82,12,11,-700,2.5
117,611,V,ArkansasLR,19,33,52,NL,NL,130,1
117,612,H,ULMonroe,28,36,64,2,3,-150,NL
117,613,V,GeorgiaSouthern,39,32,71,5,5.5,-245,4
117,614,H,Troy,40,35,75,NL,NL,205,NL
117,615,V,Marshall,34,28,62,NL,NL,200,NL
117,616,H,FlaAtlantic,30,46,76,7,5.5,-240,5
117,617,V,Davidson,27,36,63,NL,NL,-105,3.5
117,618,H,Richmond,42,47,89,1,1,-115,NL
117,619,V,WesternKentucky,24,41,65,5.5,5.5,-245,3.5
117,620,H,FloridaIntl,24,34,58,NL,NL,205,NL
117,621,V,Tennessee,26,33,59,125,1,-115,pk
117,622,H,Missouri,24,27,51,1,125,-105,66
117,623,V,UNLV,24,23,47,117,117,460,62
117,624,H,SanDiegoState,17,36,53,8,10,-600,9
117,625,V,AirForce,21,38,59,NL,NL,240,NL
117,626,H,UtahState,31,40,71,6.5,6.5,-290,1
117,627,V,WestVirginia,23,27,50,135,136,132,2.5
117,628,H,Texas,37,40,77,2,3,-153,72.5
117,629,V,SanFrancisco,28,36,64,2,1.5,-120,3
117,630,H,SantaClara,39,31,70,NL,NL,100,NL
117,631,V,Villanova,23,39,62,18,19.5,NL,11
117,632,H,Pennsylvania,21,26,47,NL,NL,NL,NL
117,633,V,OklahomaState,20,45,65,130.5,133,240,2
117,634,H,Oklahoma,41,41,82,7,6.5,-290,71
117,635,V,UtahU,26,25,51,127.5,126,200,67
117,636,H,Arizona,31,38,69,4.5,5.5,-240,1.5
117,637,V,Wyoming,26,18,70,2,2.5,-140,1
117,638,H,FresnoState,23,21,65,NL,NL,120,NL
117,639,V,CollCharleston,31,36,67,NL,NL,400,NL
117,640,H,Northeastern,38,31,69,10,9.5,-500,3.5
117,641,V,Valparaiso,29,37,66,NL,2,-135,0.5
117,642,H,WrightState,27,29,56,1,NL,115,NL
117,643,V,Ohio,19,40,59,NL,NL,250,NL
117,644,H,KentState,30,39,69,7,7,-305,2
117,645,V,ClevelandState,31,43,74,6,6.5,-290,2
117,646,H,YoungstownState,22,39,61,NL,NL,240,NL
117,647,V,Rice,33,26,73,NL,NL,575,NL
117,648,H,CharlotteU,26,33,68,13.5,13,-800,9.5
117,649,V,NorthTexas,22,28,50,NL,NL,991,NL
117,650,H,OldDominion,32,29,61,15.5,14,-1500,5.5
117,651,V,Providence,34,40,74,132,131,105,69.5
117,652,H,Creighton,24,41,65,1,2,-125,3.5
117,653,V,Temple,28,25,53,115,116,253,63.5
117,654,H,Cincinnati,29,55,84,5,7,-303,4.5
117,655,V,Elon,30,42,72,NL,NL,205,NL
117,656,H,JamesMadison,33,42,75,6,5.5,-245,2.5
117,657,V,UAB,36,27,63,4.5,4.5,-190,1.5
117,658,H,SouthernMiss,31,25,56,NL,NL,161,NL
117,659,V,TexasState,33,33,73,NL,NL,107,NL
117,660,H,ArkansasState,26,40,78,2,1.5,-128,2.5
117,661,V,PortlandU,32,31,63,NL,NL,161,NL
117,662,H,Pepperdine,31,36,67,5,4.5,-190,3.5
117,663,V,Hawaii,31,31,62,139,140,115,74
117,664,H,CalRiverside,28,38,66,1,2,-135,2
117,665,V,SouthAlabama,35,54,89,NL,NL,750,NL
117,666,H,ULLafayette,44,38,82,13,13,-1100,5
117,667,V,Northwestern,32,22,54,116.5,121,355,66.5
117,668,H,Michigan,31,25,56,8,9,-450,6
117,669,V,SouthCarolina,29,39,68,3,2.5,-140,3
117,670,H,Auburn,39,32,71,133.5,134.5,120,72
117,671,V,Connecticut,29,30,59,123.5,124.5,200,67.5
117,672,H,Stanford,32,40,72,4,5.5,-240,2.5
117,673,V,OregonState,25,37,62,133,132.5,120,68
117,674,H,WashingtonState,16,31,47,pk,2.5,-140,3.5
117,675,V,UCDavis,43,36,79,1.5,NL,117,NL
117,676,H,CSFullerton,30,38,68,NL,1.5,-139,4.5
117,677,V,Mississippi,52,44,96,155,154,355,84
117,678,H,Arkansas,40,42,82,8,9,-450,8.5
117,679,V,ColoradoState,34,36,70,18,18.5,NL,NL
117,680,H,SanJoseState,22,19,41,NL,NL,NL,NL
117,681,V,CalPolySLO,21,27,48,2,2.5,-140,1.5
117,682,H,CSNorthridge,19,36,55,NL,NL,120,NL
117,683,V,SanDiego,27,30,57,3.5,2,-130,0.5
117,684,H,Pacific,24,35,59,NL,NL,110,NL
117,685,V,BYU,37,40,77,150.5,145,115,2
117,686,H,SaintMarysCA,45,37,82,1.5,2,-135,81
117,687,V,CalSantaBarb,21,32,53,NL,NL,135,2
117,688,H,LongBeachState,35,34,69,3.5,3,-160,NL
117,689,V,Furman,27,47,74,NL,NL,130,65.5
117,690,H,TheCitadel,30,32,62,4,3,-150,1
117,691,V,ETennesseeSt,32,47,79,1,3.5,-165,2.5
117,692,H,VMI,32,53,85,NL,NL,140,NL
117,693,V,EasternIllinois,25,40,65,NL,NL,230,NL
117,694,H,MoreheadState,19,43,62,5,6,-275,5
117,695,V,No.Colorado,34,35,88,2,2,-130,pk
117,696,H,NorthDakota,31,38,78,NL,NL,110,NL
117,697,V,Samford,26,30,56,NL,NL,600,NL
117,698,H,Mercer,40,40,80,12.5,12,-900,4
117,699,V,SouthDakota,29,28,57,NL,NL,325,NL
117,700,H,SouthDakotaSt,31,40,71,9,8.5,-400,4.5
117,701,V,IdahoState,37,32,69,NL,NL,430,NL
117,702,H,NorthernArizona,30,42,72,10,10,-550,8.5
117,703,V,JacksonvilleSt,22,30,52,NL,NL,400,NL
117,704,H,TennMartin,34,21,55,9.5,9.5,-500,2.5
117,705,V,TennesseeTech,30,31,61,NL,NL,160,NL
117,706,H,SEMissouriSt,32,33,65,4,4,-185,2
117,707,V,WesternCarolina,17,26,43,NL,NL,280,NL
117,708,H,Wofford,24,38,62,8,7.5,-340,2.5
117,709,V,SIUEdwardsville,33,29,62,NL,NL,575,NL
117,710,H,EasternKentucky,32,46,78,11,12,-800,8
117,711,V,IPFW,27,31,58,NL,NL,291,NL
117,712,H,OralRoberts,23,39,62,8.5,8,-355,6
117,713,V,TennesseeState,23,49,72,NL,NL,NL,NL
117,714,H,MurrayState,42,49,91,24,23,NL,9
117,715,V,Belmont,38,51,89,6.5,7.5,-350,4.5
117,716,H,AustinPeay,37,46,83,NL,NL,290,NL
117,717,V,MontanaState,19,29,48,NL,NL,525,NL
117,718,H,Montana,29,34,63,11,11,-700,4.5
117,719,V,WeberState,33,27,60,5,5,-210,4.5
117,720,H,SouthernUtah,36,34,70,NL,NL,177,NL
117,721,V,E.Washington,41,36,77,2,NL,-105,NL
117,722,H,SacramentoState,41,49,90,NL,1,-115,1.5
117,723,V,IdahoU,31,42,73,1,NL,120,NL
117,724,H,PortlandState,37,48,85,NL,2,-140,pk
118,807,V,IndianaU,38,42,80,144,142,195,74.5
118,808,H,Illinois,34,40,74,5,5.5,-230,5
118,809,V,LoyolaChicago,20,32,52,1.5,117,-108,0.5
118,810,H,SoIllinois,23,36,59,NL,pk,-108,58.5
118,811,V,MissouriSt,20,26,46,116,115.5,900,62
118,812,H,NorthernIowa,32,28,60,16,14,-1400,5
118,813,V,St.Johns,29,32,67,5.5,6,-270,1
118,814,H,Depaul,19,42,71,146.5,143.5,220,73
118,815,V,St.Josephs,29,32,61,131,128,205,68.5
118,816,H,St.Bonaventure,28,42,70,5.5,6,-245,4
118,817,V,BoiseState,30,39,69,119.5,120,195,66
118,818,H,NewMexico,31,28,59,4.5,5,-230,3
118,819,V,VirginiaTech,21,32,53,147,147,4250,75
118,820,H,NorthCarolina,34,34,68,22.5,22,-7750,9
118,821,V,Oregon,42,35,77,140,142.5,200,77
118,822,H,WashingtonU,32,53,85,3.5,5.5,-235,5.5
118,823,V,Siena,39,35,74,NL,146,115,79
118,824,H,Niagara,35,35,70,3.5,2,-135,2
118,825,V,Iona,34,40,74,1,150,-108,2
118,826,H,Canisius,42,36,78,NL,pk,-108,79.5
118,827,V,IUPUI,40,49,89,NL,147.5,335,80
118,828,H,NebraskaOmaha,31,53,84,7,7.5,-415,7.5
118,829,V,Rider,37,37,82,NL,125,140,70.5
118,830,H,Manhattan,36,38,79,2.5,3.5,-160,3
118,831,V,Quinnipiac,29,43,72,7,6.5,-300,6.5
118,832,H,Marist,34,37,71,NL,129,240,72
118,833,V,Fairfield,30,40,70,NL,117,270,66
118,834,H,Monmouth,26,51,77,7.5,7.5,-340,6
119,725,V,DetroitU,26,34,81,NL,NL,204,70
119,726,H,Northeastern,26,34,69,6.5,5.5,-245,3.5
119,727,V,Texas,33,33,66,3,2.5,-145,65.5
119,728,H,TCU,20,28,48,118,120.5,125,2
119,729,V,Pittsburgh,25,40,65,138,137.5,800,72
119,730,H,Duke,41,38,79,15,13.5,-1300,4.5
119,731,V,ArkansasLR,32,32,64,NL,NL,105,NL
119,732,H,SouthAlabama,35,31,66,2,1.5,-125,pk
119,733,V,TexasState,28,27,55,NL,NL,210,NL
119,734,H,UTArlington,30,36,66,4,5,-250,2.5
119,735,V,ULMonroe,32,25,57,NL,NL,253,NL
119,736,H,ULLafayette,30,25,55,7,7,-305,5
119,737,V,AppalachianSt,29,40,69,NL,NL,155,NL
119,738,H,Troy,34,30,64,4,4,-180,1
119,739,V,GeorgiaState,29,31,60,7,5,-220,2.5
119,740,H,ArkansasState,27,27,54,NL,NL,185,NL
119,741,V,FloridaState,28,31,59,127,124.5,180,67
119,742,H,Clemson,22,33,55,5,4.5,-215,4.5
119,743,V,Oklahoma,32,46,78,139,138,200,2.5
119,744,H,Kansas,51,34,85,5,5.5,-240,75.5
119,745,V,Villanova,20,38,58,4,4,-185,7
119,746,H,Georgetown,42,36,78,132,133,160,71
120,505,V,Michigan,24,30,54,118,120.5,115,64
120,506,H,Rutgers,22,28,50,3,2.5,-135,1
120,507,V,Valparaiso,34,43,77,10,8.5,-435,3
120,508,H,YoungstownState,25,37,62,NL,138.5,345,72
120,509,V,Mississippi,31,33,64,140,140.5,160,74.5
120,510,H,Georgia,25,44,69,3.5,4,-185,4
120,511,V,LSU,37,42,79,132,135.5,555,73
120,512,H,Florida,32,29,61,10,11,-730,8
120,513,V,BostonCollege,17,44,61,123,124.5,330,65
120,514,H,Syracuse,35,34,69,9,8.5,-410,1
120,515,V,KansasState,38,33,71,137,138.5,420,75.5
120,516,H,IowaState,39,38,77,10,9.5,-545,5.5
120,517,V,Dayton,33,27,60,145.5,142,120,2
120,518,H,Davidson,45,32,77,3,2.5,-140,76.5
120,519,V,IllinoisState,29,35,64,8.5,9,-445,5
120,520,H,Drake,27,29,56,NL,129,355,69.5
