Date,Rot,VH,Team,1st,2nd,Final,Open,Close,ML,2H,,,,
310,601,N,SacramentoState,45,38,83,132.5,132.5,140,74,,,,
310,602,N,No.Colorado,42,48,90,1.5,2.5,-160,3,,,,
310,603,N,NorthernArizona,44,33,77,132,131.5,210,71,,,,
310,604,N,PortlandState,27,39,66,6,6,-250,6.5,,,,
310,605,N,IdahoU,30,34,64,132,131,700,71,,,,
310,606,N,Montana,38,31,69,13.5,13.5,-1100,6,,,,
310,607,N,NCState,38,30,68,146.5,146.5,140,78.5,,,,
310,608,N,Syracuse,43,46,89,1.5,3,-160,0.5,,,,
310,609,N,MiamiFlorida,32,35,67,126.5,126.5,300,68.5,,,,
310,610,N,Clemson,36,28,64,9,8,-360,4,,,,
310,611,N,Duke,30,40,70,1.5,3,NL,2,,,,
310,612,N,Louisville,29,27,56,140.5,140.5,NL,74,,,,
310,613,N,NotreDame,36,23,59,149,151.5,245,81,,,,
310,614,N,NorthCarolina,50,51,101,7,6.5,-290,0.5,,,,
310,615,N,Iona,21,34,55,1.5,1,-115,1.5,,,,
310,616,N,Siena,24,28,52,137.5,138,-105,70.5,,,,
310,617,N,Fairfield,41,38,79,142.5,140,330,75.5,,,,
310,618,N,Monmouth,34,26,60,7.5,8,-400,8,,,,
310,619,N,SanJoseState,45,35,80,150.5,149.5,600,82,,,,
310,620,N,Wyoming,59,52,111,10.5,12.5,-900,3.5,,,,
310,621,V,AirForce,21,31,52,130.5,127,525,68,,,,
310,622,H,UNLV,39,41,80,11.5,11.5,-750,2.5,,,,
310,623,N,NewMexico,35,42,77,125.5,127.5,330,70.5,,,,
310,624,N,FresnoState,34,51,85,6.5,9,-400,6.5,,,,
310,625,N,Marquette,14,35,49,2,3.5,-170,6.5,,,,
310,626,N,Georgetown,32,36,68,143.5,144.5,150,74,,,,
310,627,N,Butler,26,33,70,132.5,133.5,220,1,,,,
310,628,N,Xavier,40,19,69,5.5,6,-260,70.5,,,,
310,629,N,Depaul,35,35,70,134.5,134.5,245,73.5,,,,
310,630,N,Providence,36,26,62,6.5,7,-290,4,,,,
310,631,N,WashingtonState,24,35,59,1,144,100,74,,,,
310,632,N,ArizonaState,25,39,64,144.5,1.5,-120,0.5,,,,
310,633,N,WashingtonU,35,60,95,144,145.5,300,79.5,,,,
310,634,N,UtahU,47,51,98,7,8,-360,2,,,,
310,635,N,California,35,41,76,133,132,350,70.5,,,,
310,636,N,Stanford,29,29,58,6.5,8.5,-420,7,,,,
310,637,N,Minnesota,27,24,51,141.5,139,100,70.5,,,,
310,638,N,Northwestern,20,26,46,1,1,-120,2,,,,
310,639,N,Nebraska,37,29,66,146.5,145,240,76,,,,
310,640,N,PennState,23,49,72,6.5,6.5,-280,7,,,,
310,641,N,CharlotteU,26,36,62,140,138.5,180,1.5,,,,
310,642,N,TexSanAntonio,41,31,72,4.5,5,-210,74.5,,,,
310,643,N,Rice,31,41,72,157.5,157.5,400,81.5,,,,
310,644,N,Marshall,29,39,68,10.5,9.5,-500,6.5,,,,
310,645,N,UTEP,33,37,70,2,3.5,-175,4,,,,
310,646,N,FlaAtlantic,34,42,76,137.5,135.5,155,72.5,,,,
310,647,N,MiddleTennSt,36,20,56,127,126,1000,70.5,,,,
310,648,N,NorthTexas,45,31,76,15,16,-2000,7.5,,,,
310,649,N,KansasState,29,42,71,129,126.5,150,67,,,,
