Date,Rot,VH,Team,1st,2nd,Final,Open,Close,ML,2H
227,671,V,SaintMarysCA,40,44,84,9.5,8.5,-420,3
227,672,H,SanFrancisco,31,41,72,143,144.5,350,76
227,673,V,Gonzaga,38,33,71,156,154.5,130,82.5
227,674,H,BYU,34,34,68,2.5,3,-150,2.5
227,675,V,CSNorthridge,42,36,78,148.5,150.5,800,82
227,676,H,Hawaii,43,46,89,14.5,13.5,-1400,7.5
227,677,V,IPFW,39,38,77,1,2.5,-145,3
227,678,H,IUPUI,41,39,80,152.5,152,125,83.5
227,679,V,TheCitadel,46,49,95,176,173.5,150,0.5
227,680,H,VMI,55,56,111,3.5,3.5,-170,93.5
227,681,V,Furman,28,34,62,136,136.5,100,72.5
227,682,H,WesternCarolina,27,46,73,1,1,-120,pk
227,683,V,Fairfield,37,31,68,137.5,138,150,75.5
227,684,H,St.Peter's,38,34,72,4,3.5,-170,2.5
227,685,V,SacramentoState,31,40,71,144.5,144.5,195,2
227,686,H,NorthDakota,50,47,97,6,5,-230,78
227,687,V,E.Washington,34,28,62,147.5,1,-115,78.5
227,688,H,IdahoU,30,36,66,1.5,149,-105,0.5
227,689,V,SouthernUtah,37,32,69,152,152,180,79.5
227,690,H,NorthernArizona,28,31,59,7,5,-210,5.5
227,691,V,Wofford,37,29,66,145,144.5,175,78.5
227,692,H,ETennesseeSt,38,33,71,4.5,4.5,-200,2.5
227,693,V,Samford,35,31,66,141.5,142.5,700,76.5
227,694,H,TennesseeChat,40,37,77,12.5,12.5,-1100,6
227,695,V,MoreheadState,36,46,82,8.5,10,-600,6
227,696,H,JacksonvilleSt,36,35,71,127,129.5,450,73
227,697,V,OralRoberts,31,34,65,154,154.5,550,82
227,698,H,SouthDakotaSt,41,32,73,12,11.5,-800,4
227,699,V,NDakotaSt,29,30,59,116,120.5,100,66
227,700,H,DenverU,29,41,70,pk,1,-120,1
227,701,V,TennMartin,22,33,55,136.5,136.5,220,0.5
227,702,H,MurrayState,36,43,79,4.5,6,-260,72.5
227,703,V,SEMissouriSt,42,33,75,148.5,148.5,525,81
227,704,H,AustinPeay,38,45,83,11.5,11,-750,8.5
227,705,V,SouthDakota,29,47,76,150,1.5,-125,5
227,706,H,WesternIllinois,54,36,90,1,150,105,82.5
227,709,V,EasternKentucky,34,48,82,165,165,120,86
227,710,H,TennesseeTech,37,55,92,4,2,-140,0.5
227,711,V,MontanaState,31,38,69,155.5,155,105,1.5
227,712,H,IdahoState,39,37,76,2.5,1.5,-125,81
227,713,V,PortlandState,46,43,89,160.5,1,-120,84.5
227,714,H,No.Colorado,39,47,86,pk,160,100,1
